"method","station","date","time","batch.date","species","fork.length","total.length","standard.length","weight","mark.type","life.stage","mort","release.id","count","calendar.year","water.year"
"RSTR","ST040X",2006-05-12,08:00:00,2006-05-12,"Chinook salmon",85,NA,NA,NA,"CWT","n/p","No","CDFG-2006",2,2006,2006
"RSTR","ST040X",2006-05-12,19:15:00,2006-05-13,"Chinook salmon",80,87,NA,NA,"CWT","5","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-05-12,08:00:00,2006-05-12,"Chinook salmon",86,NA,NA,NA,"CWT","n/p","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-05-12,08:00:00,2006-05-12,"Chinook salmon",88,NA,NA,NA,"CWT","n/p","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-05-16,09:00:00,2006-05-16,"Chinook salmon",84,NA,NA,NA,"CWT","n/p","No","CDFG-2006",4,2006,2006
"RSTR","ST040X",2006-05-16,09:00:00,2006-05-16,"Chinook salmon",87,NA,NA,NA,"CWT","n/p","No","CDFG-2006",3,2006,2006
"RSTR","ST040X",2006-05-16,09:00:00,2006-05-16,"Chinook salmon",91,NA,NA,NA,"CWT","n/p","No","CDFG-2006",2,2006,2006
"RSTR","ST040X",2006-05-16,09:00:00,2006-05-16,"Chinook salmon",77,NA,NA,NA,"CWT","n/p","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-05-16,09:00:00,2006-05-16,"Chinook salmon",82,NA,NA,NA,"CWT","n/p","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-05-16,09:00:00,2006-05-16,"Chinook salmon",83,NA,NA,NA,"CWT","n/p","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-05-16,09:00:00,2006-05-16,"Chinook salmon",85,NA,NA,NA,"CWT","n/p","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-05-16,09:00:00,2006-05-16,"Chinook salmon",88,NA,NA,NA,"CWT","n/p","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-05-16,09:00:00,2006-05-16,"Chinook salmon",93,NA,NA,NA,"CWT","n/p","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-05-16,09:00:00,2006-05-16,"Chinook salmon",97,NA,NA,NA,"CWT","n/p","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-05-17,09:15:00,2006-05-17,"Chinook salmon",80,87,NA,NA,"CWT","n/p","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-05-17,09:15:00,2006-05-17,"Chinook salmon",81,87,NA,NA,"CWT","n/p","No","CDFG-2006",1,2006,2006
