releaseID,releaseFishID,forkLength,ReleaseFish.comments
268,2527,36,
268,2540,38,
268,2421,37,
268,2538,34,
268,2537,36,
268,2536,36,
268,2535,38,
268,2534,35,
268,2533,35,
268,2532,34,
268,2531,36,
268,2530,35,
268,2541,35,
268,2299,39,
268,2309,36,
268,2308,37,
268,2307,34,
268,2306,35,
268,2305,36,
268,2304,36,
268,2303,36,
268,2302,36,
268,2332,38,
268,2300,38,
268,2312,35,
268,2298,40,
268,2297,34,
268,2296,34,
268,2295,35,
268,2294,39,
268,2293,35,
268,2292,38,
268,2291,36,
268,2301,38,
268,2321,39,
268,2331,35,
268,2330,34,
268,2329,36,
268,2328,37,
268,2327,38,
268,2326,35,
268,2325,35,
268,2324,39,
268,2310,35,
268,2322,38,
268,2311,40,
268,2320,36,
268,2319,37,
268,2318,36,
268,2317,37,
268,2316,38,
268,2315,35,
268,2314,36,
268,2313,36,
268,2288,37,
268,2323,36,
268,2257,34,
268,2290,35,
268,2265,35,
268,2264,41,
268,2263,36,
268,2262,39,
268,2261,39,
268,2260,35,
268,2259,36,
268,2267,40,
268,2258,35,
268,2268,36,
268,2256,38,
268,2255,36,
268,2254,37,
268,2252,36,
268,2250,35,
268,2249,38,
268,2248,37,
268,2584,36,
268,2420,37,
268,2247,35,
268,2278,34,
268,2253,40,
268,2287,37,
268,2286,36,
268,2285,36,
268,2284,35,
268,2283,37,
268,2282,36,
268,2281,36,
268,2266,36,
268,2279,37,
268,2289,36,
268,2277,35,
268,2276,35,
268,2275,39,
268,2274,36,
268,2273,36,
268,2272,35,
268,2271,36,
268,2270,34,
268,2269,36,
268,2280,37,
268,2388,36,
268,2378,39,
268,2397,37,
268,2396,34,
268,2395,35,
268,2394,38,
268,2393,35,
268,2392,37,
268,2391,37,
268,2399,37,
268,2389,37,
268,2400,36,
268,2387,36,
268,2386,37,
268,2385,30,
268,2384,35,
268,2383,35,
268,2382,36,
268,2381,36,
268,2380,37,
268,2379,38,
268,2390,36,
268,2410,38,
268,2418,36,
268,2419,35,
268,2251,35,
268,2333,37,
268,2417,34,
268,2416,33,
268,2415,37,
268,2413,36,
268,2398,38,
268,2411,38,
268,2414,38,
268,2409,36,
268,2408,40,
268,2407,35,
268,2406,38,
268,2405,36,
268,2404,37,
268,2403,37,
268,2402,35,
268,2401,36,
268,2412,39,
268,2344,39,
268,2353,36,
268,2352,39,
268,2351,36,
268,2350,37,
268,2349,36,
268,2348,38,
268,2347,37,
268,2346,37,
268,2354,37,
268,2334,36,
268,2340,36,
268,2343,37,
268,2342,33,
268,2341,37,
268,2335,40,
268,2339,38,
268,2336,36,
268,2338,34,
268,2377,36,
268,2337,37,
268,2345,36,
268,2372,38,
268,2375,36,
268,2355,35,
268,2373,37,
268,2371,40,
268,2376,35,
268,2370,39,
268,2369,35,
268,2368,38,
268,2367,37,
268,2366,39,
268,2358,37,
268,2364,35,
268,2363,37,
268,2362,35,
268,2361,37,
268,2360,38,
268,2359,35,
268,2356,35,
268,2357,35,
268,2374,38,
268,2365,37,
269,2813,36,
269,2814,36,
269,2815,40,
269,2816,36,
269,2812,38,
269,2818,37,
269,2807,36,
269,2819,37,
269,2817,37,
269,2811,37,
269,2810,36,
269,2808,38,
269,2806,37,
269,2805,37,
269,2804,36,
269,2820,37,
269,2831,39,
269,2803,35,
269,2809,38,
269,2830,35,
269,2841,36,
269,2782,35,
